S.NO.,PROJECT,DESCRIPTION,PART CODE,SERIAL,OPENING STOCK,ISSUED,RECD.,CLOSING STOCK,TEST BENCH,ALMIRA NO,ZONE,BIN,PICTURE,TYPE,LOCATION,COMMON PROJECTS,VENDOR,VENDOR ADDRESS,OLD DESCRIPTION,OLD PARTCODE,REMARKS,Unnamed: 22,Unnamed: 23,Unnamed: 24
61,FRM3.3.2 & VEGAS,LMI HDMI32 PIN EAC ADAPTER COVER-TOP-BOTTOM,00077941 00,LMI COVER,0,0,0,0,,M03,00C,BOX 5,LMI COVER,COVER,M03-00C-BOX 5,,,,LMI HDMI32 PIN EAC ADAPTER COVER-TOP-BOTTOM,00077941 00,,,,
62,FRM3.3.2 & VEGAS,RFM3.2 (11),IC ULN2803A DIL 18,CONNECTOR,8,0,0,8,,M03,00C,BOX 5,,IC,M03-00C-BOX 5,,,,RFM3.2 (11),IC ULN2803A DIL 18,,,,
63,FRM3.3.2 & VEGAS,VEGAS FXEP & FRGX PA PLUG-IN RELAY 2-POLE 24 DC MY2IN/RFM3.2 ,137-12-031,CONNECTOR,7,0,0,7,,M03,00C,BOX 5,,RELAY,M03-00C-BOX 5,,,,VEGAS FXEP & FRGX PA PLUG-IN RELAY 2-POLE 24 DC MY2IN/RFM3.2 ,137-12-031,,,,
64,FRM3.3.2 & VEGAS,"FRM3.2 PSU FINDER DC RELAY, 4PCO, 12A, 24VDC ",1169265,CONNECTOR,2,0,0,2,,M03,00C,BOX 5,,RELAY,M03-00C-BOX 5,,,,"FRM3.2 PSU FINDER DC RELAY, 4PCO, 12A, 24VDC ",1169265,,,,
65,FRM3.3.2 & VEGAS,"VEGAS2 FXEP & FRGX PA TEST APPLICATION EMECH SET SOFT START-UP VALUE,",AV2000-F02-5DZ-Q,CONNECTOR,2,0,0,2,,M03,00C,BOX 5,,RELAY,M03-00C-BOX 5,,,,"VEGAS2 FXEP & FRGX PA TEST APPLICATION EMECH SET SOFT START-UP VALUE,",AV2000-F02-5DZ-Q,,,,
66,FRM3.3.2 & VEGAS,VEGAS2 FXEP & FRGX PA PNEUMATIC VALUE,SYJ5243-5L-01F-Q,CONNECTOR,11,0,0,11,,M03,00B,SHELF 1,,RELAY,M03-00C-BOX 5,,ORBIS SYSTEM,INDIA,VEGAS2 FXEP & FRGX PA PNEUMATIC VALUE,SYJ5243-5L-01F-Q,,,,
67,FRM3.3.2 & VEGAS,"VEGAS2 FXEP & FRGX PA SAFTEY RELAY, MSR127TP",440R-N23132,CONNECTOR,0,0,0,0,,M03,00C,BOX 5,,RELAY,M03-00C-BOX 5,,,,"VEGAS2 FXEP & FRGX PA SAFTEY RELAY, MSR127TP",440R-N23132,,,,
68,FRM3.3.2 & VEGAS,RFM3.2 RADIALL RELAY 4PORT,R577123002,CONNECTOR,6,0,0,6,,M03,00C,BOX 17,,RELAY,M03-00C-BOX 17,,ORBIS SYSTEM,INDIA,RFM3.2 RADIALL,R577123002,,,,
69,FRM3.3.2 & VEGAS,SAPAREPARTS FOR FXEP TRX_FE FIXTURE ,USB-6501 DIO,CARD,20,0,0,20,TRX_FIXTURE ,M03,00D,SHELF 1,PICTURE,USB HUB,M03-00D-SHELF 1,FRM 3.2/ AIRSCALE SM/ GALAXY,NOKIA FINLAND,FINLAND,SAPAREPARTS FOR FXEP TRX_FE FIXTURE ,USB-6501 DIO,,,,
70,FRM3.3.2 & VEGAS,"VEGAS2 FXEF & FRGX PA TEST APPLICATION EMECH SET 00055870_24VDC,2.1W",9600345,,3,0,0,3,,M03,00C,BOX 5,,FAN,M03-00C-BOX 5,,,,"VEGAS2 FXEF & FRGX PA TEST APPLICATION EMECH SET 00055870_24VDC,2.1W",9600345,,,,
71,FRM3.3.2 & VEGAS,SPAREPARTS FOR RFM3.2 TRX_FE FIXTURE APPLICATION ELECTRONICS,R585423200,,2,0,0,2,,M03,00C,BOX 16,,RELAY,M03-00C-BOX 5,,ORBIS SYSTEM,INDIA,SPAREPARTS FOR RFM3.2 TRX_FE FIXTURE APPLICATION ELECTRONICS,R585423200,,,,
72,FRM3.3.2 & VEGAS,LC LOOPBACK MOLEX 2DB,1060520010,CONNECTOR,72,1,0,71,"FCTB ,FSMF,FBBA,FBBC TEST BENCHES",M03,00D,SHJELF 2,LC LOOPBACK ,PLUG,M03-00D-SHJELF 2,FRM 3.2/ VEGAS/ AMBER/ GALVATRON/ AIRSCALE SM/ COMPASS/ MEDUSA/ KYLIN/ FLEXI RRH/ QUASAR/ FSMREL3/ GALAXY,ORBIS SYSTEM,INDIA,LC LOOPBACK MULTI MODE 50/125,1060520010,,,,
73,FRM3.3.2 & VEGAS,RFM3.2 HDMI ADAPTER,000081328/1329,CONNECTOR,19,0,0,19,TRX FE TEST BENCH,M03,00C,SHELF 2,,CARD,M03-00C-BOX 6,,NOKIA FINLAND,FINLAND,RFM3.2 HDMI ADAPTER,000081328/1329,,,,
74,FRM3.3.2 & VEGAS,FRM3 PSU FIXTURE PA ADAPTER BOARD PWA,00068778 01,CARD,0,0,0,0,TRX_FIXTURE ,M03,00C,SHELF 3,,CARD,M03-00C-BOX 6,,NOKIA FINLAND,FINLAND,FRM3 PSU FIXTURE PA ADAPTER BOARD PWA,00068778 01,,,,
75,FRM3.3.2 & VEGAS,FRGT/FRGS SPAREPARTS FOR PSU CPST APPLICATION GAS SPRING (1),G06 15 0040 1 0179 WG22 WG22 250N ,,5,0,0,5,PA-PSU DIAGNOSTIC TEST BENCH,M03,00D,SHELF 2,,GAS SPRING,M03-00D-SHELF 2,,ORBIS SYSTEM,INDIA,FRGT/FRGS SPAREPARTS FOR PSU CPST APPLICATION GAS SPRING (1),G06 15 0040 1 0179 WG22 WG22 250N ,,,,
76,FRM3.3.2 & VEGAS,FRGT/FRGS SPAREPARTS FOR PSU CPST APPLICATION GAS SPRING (2),G06 15 0080 1 0259 WG22 WG22 250N,,3,0,0,3,PA-PSU DIAGNOSTIC TEST BENCH,M03,00D,SHELF 2,,GAS SPRING,M03-00D-SHELF 2,,ORBIS SYSTEM,INDIA,FRGT/FRGS SPAREPARTS FOR PSU CPST APPLICATION GAS SPRING (2),G06 15 0080 1 0259 WG22 WG22 250N,,,,
77,FRM3.3.2 & VEGAS,FRM3.2 PSU APPLICATION SPARE PARTS 80MM X 80MM 24VDC FAN EBM PAPST 8414N,1781478,FAN,1,0,0,1,,M03,00C,BOX 5,,FAN,M03-00C-BOX 5,,,,FRM3.2 PSU APPLICATION SPARE PARTS 80MM X 80MM 24VDC FAN EBM PAPST 8414N,1781478,,,,
78,FRM3.3.2 & VEGAS,FRM3 PSU FIXTURE MAIN CONTROL BOARD ,00068755 00,CARD,9,0,0,9,TRX_FIXTURE ,M03,00C,SHELF 1,,CARD,M03-00C-BOX 11,,NOKIA FINLAND,FINLAND,FRM3 PSU FIXTURE MAIN CONTROL BOARD ,00068755 00,,,,
79,FRM3.3.2 & VEGAS,FRM3 PSU FIXTURE PA2 ADAPTER BOARD  00068756,00068757 00,CARD,4,1,0,3,TRX_FIXTURE ,M03,00C,SHELF 1,,CARD,M03-00C-BOX 10,,NOKIA FINLAND,FINLAND,FRM3 PSU FIXTURE PA2 ADAPTER BOARD ,00068757 00,,,,
80,FRM3.3.2 & VEGAS,FRM3.2 PSU FIXTURE PA1 ADAPTER BOARD PBA EA018166 ,00083935,CARD,17,0,0,17,TRX_FIXTURE ,M03,00C,SHELF 2,,CARD,M03-00C-BOX 6,,NOKIA FINLAND,FINLAND,FRM3 PSU FIXTURE PA1/ADAPTER BOARD ,00083935,,,,
81,FRM3.3.2 & VEGAS,FRGT/FRGS PSM CONTROL 2 PBA 00078821 00 EA005306,4000792,,18,0,0,18,PA-PSU DIAGNOSTIC TEST BENCH,M03,00C,SHELF 5,,CARD,M03-00C-BOX 6,,NOKIA FINLAND,FINLAND,FRGT/FRGS PSM CONTROL 2 PBA 00078821 00,4000792,,,,
82,FRM3.3.2 & VEGAS,LMP ADAPTER BOARD EA039390,085608A.X 12,CONNECTOR,16,0,0,16,TUNNING TEST BENCH,M03,00C,SHELF 4,CARD,CARD,M03-00C-BOX 18,FRM 3.2/ VEGAS/ QUASAR,NOKIA FINLAND,FINLAND,TUNNING TEST BENCH CARD,085608A.X 12,,,,
83,FRM3.3.2 & VEGAS,TRX_FE PSU/PA ADAPTER EA005239,00067918,,12,1,0,11,"TRX FE,TUN2,FE REPAIR TEST BENCH",M03,00C,SHELF 2,CARD,CARD,M03-00C-BOX 7,,NOKIA FINLAND,FINLAND,"TRX FE ,TUN2,FE REPAIR TEST BENCH",00067918,,,,
84,FRM3.3.2 & VEGAS,TRX FE LMP ADAPTER,00062521,,7,0,0,7,TRX FE FUNCTIONAL TEST BENCH,M03,00C,SHELF 2,CARD,CARD,M03-00C-BOX 7,,NOKIA FINLAND,FINLAND,TRX FE CONNECTOR,00062521,,,,
85,FRM3.3.2 & VEGAS,FRGT/FRGS PSM CONTROL 1 PBA 00078820 00,4000791,,7,0,0,7,PA-PSU DIAGNOSTIC TEST BENCH,M03,00C,SHELF 5,CARD,CARD,M03-00C-BOX 7,,NOKIA FINLAND,FINLAND,FRGT/FRGS PSM CONTROL 1 PBA 00078820 00,4000791,,,,
86,FRM3.3.2 & VEGAS,FXEF TRX FE PA3 CTRL RIGHT ADAPTER EA031508 00086888_01,00086890,CARD,23,0,0,23,,M03,00C,SHELF 5,CARD,CARD,M03-00C-BOX 8,,NOKIA FINLAND,FINLAND,FXEF TRX FE PA3 CTRL RIGHT ,00086890,,,,
87,FRM3.3.2 & VEGAS,FRM3.X PSU COMMON ADAPTER PBA EA028630,00080850_00,,18,0,0,18,TRX FE TEST BENCH,M03,00C,SHELF 1,CARD,CARD,M03-00C-BOX 12,,NOKIA FINLAND,FINLAND,FRM3.X PSU COMMON ADAPTER PBA,00080850_00,,,,
88,FRM3.3.2 & VEGAS,RFM3.2 PA FIXTURE BOARD 00054076,00056348_00,CONNECTOR,16,0,0,16,ADAPTER TEST BENCH,M03,00C,SHELF 3,CARD,CARD,M03-00C-BOX 6,,NOKIA FINLAND,FINLAND,RFM3.2 ,00056348_00,,,,
89,FRM3.3.2 & VEGAS,VEGAS2 FXEF & FRGX PA /FRM-R3 PA TUNNING ADAPTER PBA,00078014.00,,4,0,0,4,,M03,00C,SHELF 1,CARD,CARD,M03-00C-BOX 9,,NOKIA FINLAND,FINLAND,VEGAS2 FXEF & FRGX PA /FRM-R3 PA TUNNING ADAPTER PBA,0007801400,,,,
90,FRM3.3.2 & VEGAS,FXEF TRX_FE PA1&2 CTRL LEFT ADAPTER EA042209 00086887_01,00086889,,32,0,0,32,,M03,00C,SHELF 2,CARD,CARD,M03-00C-BOX 12,,NOKIA FINLAND,FINLAND,FXEF TRX_FE PA1&2 CTRL LEFT,00086889,,,,
91,FRM3.3.2 & VEGAS,LMP ADAPTER R.14 PBA,083963A.R14,,27,0,0,27,"PRE DIAGNOSTIC,TUN 22 TRX FE TEST BENCH",M03,00C,SHELF 2,ETHERNET ADAPTOR,CARD,M03-00C-BOX 7,,NOKIA FINLAND,FINLAND,ETHERNET ADAPTOR,083963A.R14,,,,
92,FRM3.3.2 & VEGAS,RF CABLE 3METER,A 20-07-07-3M/VA2,,11,0,0,11,CUTS 22 TEST BENCH,M06,00A,SHELF 3,CUTS CABLE,CABLE,M06-00A-SHELF 3,FRM 3.2/ VEGAS/ KYLIN/ GALAXY/ FLEXI RRH,,,MICABLE,A 20-07-07-3M/VA2,,,,
93,FRM3.3.2 & VEGAS,FILTER RF CABLE SMS TO SMA (L TO I BEND) 1.5 M,J12J103216-00,1704S290,11,0,0,11,TUN2 TEST BENCH,M03,00B,SHELF 4,POWER CABLE,CABLE,M03-00B-SHELF 4,FRM 3.2/ VEGAS,,,TUN2 TEST BENCH CABLE 1.5 M,JUNFLON MWX221 3216 ALTERNATE,,,,
94,FRM3.3.2 & VEGAS,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 0.18m,EF316, SMA M - MCX M",P331271,CABLE,4,0,0,4,TRX_FIXTURE ,M06,00A,SHELF 2,,CABLE,M06-00A-SHELF 2,,,,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 0.18m,EF316, SMA M - MCX M",P331271,,,,
95,FRM3.3.2 & VEGAS,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 0.18m,EF316, SMA M - MCX M",P331272,CABLE,4,0,0,4,TRX_FIXTURE ,M06,00A,SHELF 2,,CABLE,M06-00A-SHELF 2,,,,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 0.18m,EF316, SMA M - MCX M",P331272,,,,
96,FRM3.3.2 & VEGAS,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 0.28m,EF316, SMA M - MCX M",P331273,CABLE,0,0,0,0,TRX_FIXTURE ,M06,00A,SHELF 2,,CABLE,M06-00A-SHELF 2,,,,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 0.28m,EF316, SMA M - MCX M",P331273,,,,
97,FRM3.3.2 & VEGAS,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 0.20m,EF316, SMA M - MCX M",P331274,CABLE,2,0,0,2,TRX_FIXTURE ,M06,00A,SHELF 2,,CABLE,M06-00A-SHELF 2,,,,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 0.20m,EF316, SMA M - MCX M",P331274,,,,
98,FRM3.3.2 & VEGAS,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 0.26m,EF316, SMA M - MCX M",P331270,CABLE,4,0,0,4,TRX_FIXTURE ,M06,00A,SHELF 2,,CABLE,M06-00A-SHELF 2,,,,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 0.26m,EF316, SMA M - MCX M",P331270,,,,
99,FRM3.3.2 & VEGAS,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 0.34m,EF316, SMA M - MCX M",P331267,CABLE,2,0,0,2,TRX_FIXTURE ,M06,00A,SHELF 2,,CABLE,M06-00A-SHELF 2,,,,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 0.34m,EF316, SMA M - MCX M",P331267,,,,
100,FRM3.3.2 & VEGAS,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 2.5m,EF316, SMA M - MCX M",P331276,CABLE,8,0,0,8,TRX_FIXTURE ,M06,00A,SHELF 2,,CABLE,M06-00A-SHELF 2,,,,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 2.5m,EF316, SMA M - MCX M",P331276,,,,
101,FRM3.3.2 & VEGAS,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 3.0m,EF316, SMA M - MCX M (1)",P331277,CABLE,8,0,0,8,TRX_FIXTURE ,M06,00A,SHELF 2,,CABLE,M06-00A-SHELF 2,,,,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 3.0m,EF316, SMA M - MCX M (1)",P331277,,,,
102,FRM3.3.2 & VEGAS,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 3.0m,EF316, SMA M - MCX M (2)",P331280,CABLE,8,0,0,8,TRX_FIXTURE ,M06,00A,SHELF 2,,CABLE,M06-00A-SHELF 2,,,,"SAPAREPARTS FOR RFM3.2 TRX_FE  RF CABLE 3.0m,EF316, SMA M - MCX M (2)",P331280,,,,
103,FRM3.3.2 & VEGAS,VEGAS FILTER TEST BENCH RF CABLE N to SMA  2M,J12J103214-00,CABLE,1,0,0,1,ALL TEST BENCHES,M06,00A,SHELF 2,CABLE,CABLE,M06-00A-SHELF 2,FRM 3.2/ VEGAS,,,ALL VEGAS TEST BENCH MWX221-02000NMWNMW ,J12J103214-00,,,,
104,FRM3.3.2 & VEGAS,VEGAS FILTER TEST BENCH RF CABLE N to SMA  2M,J12J103215-00,CABLE,12,0,0,12,ALL TEST BENCHES,M03,00B,SHELF 4,CABLE,CABLE,M03-00B-SHELF 4,FRM 3.2/ VEGAS,ORBIS SYSTEM,INDIA,ALL VEGAS TEST BENCH MWX221-02000AMWNMW,J12J103215-00,,,,
105,FRM3.3.2 & VEGAS,RF CABLE SMA TO SMA I TO L BEND 1.5M 91000005,SF104P/16SMA/11SMA/1500,91000005,1,0,0,1,FE REPAIR & TUNNING TEST BENCH,M06,00A,SHELF 2,POWER CABLE,CABLE,M06-00A-SHELF 2,,,,FE REPAIR & TUNNING TEST BENCH,SF104P/11SMA/1500.0/ 1538909 2M,,,,
106,FRM3.3.2 & VEGAS,RF CABLE N TO N 3 MTR,ST-18/NM/NM 3000,CABLE,6,0,0,6,,M06,00A,SHELF 5,CABLE,CABLE,M06-00A-SHELF 5,,,,NA (1),ST-18/NM/NM 3000,,,,
107,FRM3.3.2 & VEGAS,SUCOFLEX 104PE RF CABLE SMA to SMA I TO L BEND,654081/ 2M,CABLE,2,0,0,2,,M06,00A,SHELF 2,CABLE,CABLE,M06-00A-SHELF 2,,,,SUCOFLEX 104PE (1),654081/ 2M,,,,
108,FRM3.3.2 & VEGAS,SF104E/11N/16SMA/ 1500.0 N TO SMA  1.5M,91000005/2338211,CABLE,1,0,0,1,,M06,00A,SHELF 5,CABLE,CABLE,M06-00A-SHELF 5,,,,SF104E/11N/16SMA/ 1500.0 1.5M,91000005/2338211,,,,
109,FRM3.3.2 & VEGAS,SF126E/16N/16N/ 1000.0  N TO N BOTH L BEND 1M,2411281,CABLE,6,0,0,6,,M06,00A,SHELF 5,CABLE,CABLE,M06-00A-SHELF 5,,,,SF126E/16N/16N/ 1000.0 1M,2411281,,,,
110,FRM3.3.2 & VEGAS,OPTICAL CABLE WITHOUT SFP,LFNPTS943-99999-11374,V61716,2,0,0,2,PRE DIAGNOSTIC TEST BENCH,M06,00A,SHELF 4,CABLE,CABLE,M06-00A-SHELF 5,,,,PRE DIAGNOSTIC TEST BENCH CABLE,LFNPTS943-99999-11374,,,,
111,FRM3.3.2 & VEGAS,TEST RF CABLE N TO SMA (SMS-235SP-120.0-NMS),100835 0007,4005688,1,0,0,1,CUTS 22 TEST BENCH,M06,00A,SHELF 2,CABLE,CABLE,M06-00A-SHELF 2,,,,TEST CABLE SMS-235SP-120.0-NMS,100835 0007,,,,
112,FRM3.3.2 & VEGAS,SUCOFLEX RF CABLE N TO N 104PE (4) 2M,SN 84638/4PE,,0,0,0,0,,M06,00A,SHELF 5,CABLE,CABLE,M06-00A-SHELF 5,,,,SUCOFLEX 104PE (4) 2M,SN 84638/4PE,,,,
113,FRM3.3.2 & VEGAS,"FXED TUNING ADAPTERS AND SPAREPARTS  REALTILT CONTROL CABLE 2M,RCMA",469789A.104,,0,0,0,0,,M06,00A,SHELF 5,CABLE,CABLE,M06-00A-SHELF 5,,ORBIS SYSTEM,INDIA,"FXED TUNING ADAPTERS AND SPAREPARTS  REALTILT CONTROL CABLE 2M,RCMA",469789A.104,,,,
114,FRM3.3.2 & VEGAS,JUNFLOW RF NAT CABLE 3M,J12J102546-00,,3,0,0,3,CUTS 22 TEST BENCH,M03,00B,SHELF 5,RF CABLE,CABLE,M03-00B-SHELF 5,FRM 3.2/ VEGAS/ KYLIN/ FLEXI RRH/ GALAXY/ GALVATRON/ COMPASS/ QUASAR,,,JUNFLOW ANT-6,J12J102546-00,,,,
115,FRM3.3.2 & VEGAS,TEST CABLE NMSE-200A-120.0-NMSE(N TO N) CABLE 3 MTR,100835 0005,,7,0,0,7,LBTS TEST BENCH,M06,00A,SHELF 2,ANTINA CABLE,CABLE,M06-00A-SHELF 3,,,,TEST CABLE NMSE-200A-120.0-NMSE,100835 0005,,,,
116,FRM3.3.2 & VEGAS,FRM3.X UNIT HDMI CABLE 3M,1428267 3M,,38,0,0,38,TRE FE TEST BENCH,M06,00A,SHELF 1,CABLE ASSEMBLY,CABLE,M06-00A-SHELF 1,FRM 3.2/ VEGAS/ QUASAR/ GALAXY,ORBIS SYSTEM,INDIA,FRM3.X UNIT ,1428267 3M,,,,
117,FRM3.3.2 & VEGAS,OTTAWA,81125334162,,0,0,0,0,,M06,00A,SHELF 5,CABLE,CABLE,M06-00A-SHELF 5,FRM 3.2/ VEGAS/ QUASAR/ COMPASS/ GALAXY,ORBIS SYSTEM,INDIA,OTTAWA,81125334162,,,,
118,FRM3.3.2 & VEGAS,OPSFP-T-05-PAB CABLE,S170600940017,,0,0,0,0,,M06,00A,SHELF 5,CABLE,CABLE,M06-00A-SHELF 5,FRM 3.2/ VEGAS,,,OPSFP-T-05-PAB CABLE,S170600940017,,,,
